Running benchmark 638 with O3
Check determinism flag for 638/wand/magick-property.bc
Change in queries per pass for 638/wand/magick-property.bc
Pass 0GVNPass in 638/wand/magick-property.bc is non-deterministic (missing pass)
Pass 1GVNPass in 638/wand/magick-property.bc is non-deterministic (missing pass)
Pass 2GVNPass in 638/wand/magick-property.bc is non-deterministic (missing pass)
Pass 3GVNPass in 638/wand/magick-property.bc is non-deterministic (missing pass)
Pass 5GVNPass in 638/wand/magick-property.bc is non-deterministic (missing pass)
Pass 6GVNPass in 638/wand/magick-property.bc is non-deterministic (missing pass)
Pass 7GVNPass in 638/wand/magick-property.bc is non-deterministic (missing pass)
Pass 9GVNPass in 638/wand/magick-property.bc is non-deterministic (missing pass)
Pass 10GVNPass in 638/wand/magick-property.bc is non-deterministic (missing pass)
Pass 11GVNPass in 638/wand/magick-property.bc is non-deterministic (missing pass)
Pass 12GVNPass in 638/wand/magick-property.bc is non-deterministic (missing pass)
Pass 14GVNPass in 638/wand/magick-property.bc is non-deterministic (missing pass)
Pass 15GVNPass in 638/wand/magick-property.bc is non-deterministic (missing pass)
Pass 16GVNPass in 638/wand/magick-property.bc is non-deterministic (missing pass)
Pass 17GVNPass in 638/wand/magick-property.bc is non-deterministic (missing pass)
Pass 18GVNPass in 638/wand/magick-property.bc is non-deterministic (missing pass)
Pass 19GVNPass in 638/wand/magick-property.bc is non-deterministic (missing pass)
Pass 20GVNPass in 638/wand/magick-property.bc is non-deterministic (missing pass)
Pass 21GVNPass in 638/wand/magick-property.bc is non-deterministic (missing pass)
Pass 22GVNPass in 638/wand/magick-property.bc is non-deterministic (missing pass)
Pass 23GVNPass in 638/wand/magick-property.bc is non-deterministic (missing pass)
Pass 24GVNPass in 638/wand/magick-property.bc is non-deterministic (missing pass)
Pass 26GVNPass in 638/wand/magick-property.bc is non-deterministic (missing pass)
Pass 27GVNPass in 638/wand/magick-property.bc is non-deterministic (missing pass)
Pass 31GVNPass in 638/wand/magick-property.bc is non-deterministic (missing pass)
Pass 35GVNPass in 638/wand/magick-property.bc is non-deterministic (missing pass)
Pass 36GVNPass in 638/wand/magick-property.bc is non-deterministic (missing pass)
Pass 37GVNPass in 638/wand/magick-property.bc is non-deterministic (missing pass)
Pass 38GVNPass in 638/wand/magick-property.bc is non-deterministic (missing pass)
Pass 40GVNPass in 638/wand/magick-property.bc is non-deterministic (missing pass)
Pass 41GVNPass in 638/wand/magick-property.bc is non-deterministic (missing pass)
